element,name,position,team,now_cost,xP,free_transfers_after
90,Scott,MID,Bournemouth,50,14.0,1
139,Verbruggen,GK,Brighton,45,11.5,1
173,Wieffer,MID,Brighton,49,18.5,1
178,Welbeck,FWD,Brighton,63,13.5,1
235,Palmer,MID,Chelsea,105,6.5,1
283,Mateta,FWD,Crystal Palace,75,12.0,1
343,Struijk,DEF,Leeds,43,7.5,1
260,Guéhi,DEF,Man City,51,30.5,1
411,O'Reilly,DEF,Man City,50,16.049999999999997,1
417,Cherki,MID,Man City,63,20.5,1
449,B.Fernandes,MID,Man Utd,103,8.5,1
