gw,season,your_pts,your_predicted_xp,recommended_pts,recommended_xp,dream_team_pts,your_percentile_rank,best_score,top_1k_score,top_10k_score,top_100k_score,top_1m_score,avg_score,median_score,ranked_count,timestamp,wildcard_pts,wildcard_xp,spearman_rho
31,2025-26,44,44.34,8,38.82,129,20,109,66,50,38,,38,,12914049,2026-03-29T02:26:39.451197+00:00,,,
32,2025-26,54,38.71,7,5.13,159,30,132,57,43,68,,46,,12939182,2026-04-18T09:20:49.561506+00:00,38.0,103.13,-0.1928993798017371
