gw,action,player_out,player_in,price_out,price_in,xp_out,xp_in,hit_cost,bank_after
32,transfer,Virgil,Saliba,6.1,6.1,3.0,12.0,0,1.2
32,transfer,O'Reilly,Richards,5.0,4.4,2.0,10.0,0,1.2
32,transfer,Mukiele,Canvot,4.2,4.5,0.0,11.0,0,1.2
33,transfer,Haaland,Beto,14.3,5.0,2.0,9.0,0,10.6
34,transfer,O.Dango,Gordon,5.9,7.4,4.5,10.5,0,9.2
35,transfer,Andersen,N.Williams,4.5,4.7,5.0,10.0,0,9.1
36,transfer,E.Le Fée,Bernardo,4.9,6.2,0.5,9.0,0,7.8
