element,name,position,team,now_cost,xP,raw_xP
187,Walker,DEF,Burnley,44.0,7.6,7.6
373,Virgil,DEF,Liverpool,62.0,6.47,6.47
449,B.Fernandes,MID,Man Utd,101.0,8.51,8.51
31,G.Jesus,FWD,Arsenal,64.0,7.1,7.1
220,Sánchez,GK,Chelsea,49.0,4.27,4.27
531,Ballard,DEF,Sunderland,47.0,7.38,7.38
292,Mykolenko,DEF,Everton,49.0,6.59,6.59
82,Semenyo,MID,Man City,83.0,12.04,12.04
452,Amad,MID,Man Utd,62.0,9.37,9.37
169,Gomez,MID,Brighton,49.0,7.08,7.08
163,Hinshelwood,MID,Brighton,51.0,9.81,9.81
