gw,player_out,player_in,transfer_rank,actual_pts_gained,hit_taken
32,Raya,Verbruggen,1,,True
32,Dúbravka,Darlow,2,,True
32,Andersen,Van Hecke,3,,False
32,Virgil,Struijk,4,,True
32,Mukiele,Hill,5,,False
32,O.Dango,Semenyo,6,,True
32,Wilson,Palmer,7,,True
32,Cunha,Tavernier,8,,True
32,E.Le Fée,Scott,9,,True
32,Thiago,Welbeck,10,,True
32,Ekitiké,João Pedro,11,,True
33,Gabriel,Bijol,1,,True
