gw,action,player_out,player_in,price_out,price_in,xp_out,xp_in,hit_cost,bank_after
32,transfer,Virgil,Saliba,6.1,6.1,3.0,12.0,0,1.2
32,transfer,O'Reilly,Richards,5.0,4.4,2.0,10.0,0,1.2
32,transfer,Mukiele,Canvot,4.2,4.5,0.0,11.0,0,1.2
33,transfer,Andersen,N.Williams,4.5,4.7,5.0,10.0,0,1.1
34,transfer,Ekitiké,Beto,9.2,5.0,1.5,9.0,0,5.4
35,transfer,E.Le Fée,Gordon,4.9,7.4,0.5,10.5,0,2.9
36,transfer,O.Dango,Bernardo,5.9,6.2,4.5,9.0,0,2.7
