gw,action,player_out,player_in,price_out,price_in,xp_out,xp_in,hit_cost,bank_after
31,transfer,Wilson,Semenyo,6.0,8.2,1.0,12.0,0,1.5
31,transfer,Cunha,Amad,8.0,6.2,2.9,9.4,0,1.5
31,transfer,O.Dango,Hinshelwood,5.9,5.1,0.6,9.8,0,1.5
32,transfer,Andersen,Walker,4.5,4.4,1.2,7.6,0,1.5
