GW36 -> GW37 (deadline transition)

**Price up +£0.1m 📈**
• Casemiro (MUN)  £5.8 → £5.9
• Gabriel (ARS)  £7.2 → £7.3
• Richarlison (TOT)  £6.3 → £6.4
• Saka (ARS)  £9.9 → £10.0

**Price down -£0.1m 📉**
• Enzo (CHE)  £6.5 → £6.4
• Iwobi (FUL)  £6.2 → £6.1
• Lucca (NFO)  £5.4 → £5.3
• Rogers (AVL)  £7.5 → £7.4
• Van den Berg (BRE)  £4.5 → £4.4

**New entries 🆕**
• Eboué (CHE)  £4.5
• Kavuma-McQueen (CHE)  £4.5
